tableIdx,columnIdx,columns_name,columns_name_kr,columns_type,columns_desc,timestamp,standard_yn
1380,7,serviceid,서비스아이디,bigint,"게임별로 고정된 서비스 ID(인텔리전스 랩스에서 발급 진행), PC회원(nexonsn) 기준 집계여서 -1로 입력",2019-12-12 07:50:10.357,N
1380,8,worldid,게임 서버 정보,nvarchar,"characterid로 캐릭터를 찾기 위한 보조 식별자, PC회원(nexonsn) 기준 집계여서 !notapplicable@로 입력",2019-12-12 07:50:10.357,N
1380,9,total_purchase_ratio,백분율 순위(총 구매),float,3개월 누적 구매기준 백분율(%) 순위,2019-12-12 07:50:10.357,N
1380,10,firstgame_purchase_ratio,백분율 순위(1순위 게임),float,3개월 누적 구매 기준 1순위 게임 백분율(%) 순위,2019-12-12 07:50:10.357,N
1380,11,secondgame_purchase_ratio,백분율 순위(2순위 게임),float,3개월 누적 구매 기준 2순위 게임 백분율(%) 순위,2019-12-12 07:50:10.357,N
1380,12,thirdgame_purchase_ratio,백분율 순위(3순위 게임),float,3개월 누적 구매 기준 3순위 게임 백분율(%) 순위,2019-12-12 07:50:10.357,N
1380,13,grade_total,등급(총 구매),varchar,3개월 누적 총 구매 기준 VIP 등급,2019-12-12 07:50:10.357,N
1380,14,grade_firstrank_game,등급(1순위 게임),varchar,3개월 누적 1순위 구매게임 기준 VIP 등급,2019-12-12 07:50:10.357,N
1380,15,grade_secondrank_game,등급(2순위 게임),varchar,3개월 누적 2순위 구매게임 기준 VIP 등급,2019-12-12 07:50:10.357,N
1380,16,grade_thirdrank_game,등급(3순위 게임),varchar,3개월 누적3순위 구매게임 기준 VIP 등급,2019-12-12 07:50:10.357,N
1380,17,billingusersn,빌링SN,bigint,넥슨 빌링 시스템에서 계정을 식별하기 위해 사용하는 키(nexonsn과 기준이 다르며 빌링 시스템 계정 정보를 이용하면 nexonsn과 맵핑할 수 있음),2019-12-12 07:50:10.357,N
1380,18,billid,BillID,varchar,"nexonsn@nx 조합으로 생성되는 유저식별자 @nx을 빼면 nexonSN 이되며, @neople을 빼면 m_id",2019-12-12 07:50:10.357,N
1380,19,cashtype,캐시타입,varchar,"충전 캐시 타입(NexonCash(넥슨), Sera(네오플 던파), Tera(네오플 사이퍼즈) )",2019-12-12 07:50:10.357,N
1380,20,purchaseamount_cash_nongift,구매금액(선물 제외),money,3개월 유료 구매금액(선물한 금액 제외),2019-12-12 07:50:10.357,N
